ID,SEVERIDAD,DOMINIO,ARCHIVO,LINEA,TABLA,RPC,FUNCIÓN,FLUJO,PROBLEMA,EVIDENCIA,IMPACTO,REPRODUCCIÓN,ESTADO,DEPENDENCIAS,RECOMENDACIÓN
"CRIT-01","CRÍTICA","Realtime / WebSocket","supabase/migrations/018_enable_supabase_realtime.sql","20-28","tickets, orders, raffles, winners, system_settings","N/A","N/A","Visualización de números / Carrito en vivo / Dashboard","La publicación supabase_realtime tiene 0 tablas en la base de datos de producción viva. Las líneas ALTER PUBLICATION fueron comentadas en la migración 018 por error de permisos de supabase_admin y nunca se activaron.","SELECT * FROM pg_publication_tables WHERE pubname = 'supabase_realtime' retorna 0 filas en la base viva.","Silencio total de eventos WebSocket en el frontend React. Los usuarios no ven boletos reservados o comprados en tiempo real por otros clientes sin recargar la página.","Abrir dos navegadores en la misma rifa; reservar un boleto en A; en B el boleto no cambia de color ni estado.","ABIERTO","Requiere permisos de supabase_admin o activación desde el Dashboard de Supabase.","Habilitar las tablas necesarias en supabase_realtime desde el Dashboard o mediante script con rol de administración."
"CRIT-02","CRÍTICA","Privacidad / Seguridad de Datos","supabase/migrations/018_enable_supabase_realtime.sql","20","tickets","N/A","N/A","Visualización de números","La tabla tickets tiene REPLICA IDENTITY FULL. Si se habilita Realtime sin filtros de columna, emitirá la fila completa con buyer_id y order_id a usuarios anónimos en el canal público tickets_realtime_<raffle_id>.","ALTER TABLE public.tickets REPLICA IDENTITY FULL; en migración 018.","Exfiltración y fuga masiva de UUIDs de compradores y de órdenes a cualquier visitante anónimo mediante suscripción WebSocket.","Conectarse a canal tickets_realtime_<raffle_id> y escuchar UPDATE con evento de reserva.","ABIERTO","Depende de la activación de Realtime (CRIT-01).","No publicar la tabla tickets cruda en Realtime; utilizar una vista pública sanitizada sin buyer_id ni order_id, o un canal de broadcast efímero."
"HIGH-01","ALTA","Storage / Privacidad Bancaria","src/services/paymentService.ts","281-296","storage.buckets / storage.objects","N/A","N/A","Subir comprobante / Revisar comprobante","El bucket legacy receipts tiene el flag public = true en storage.buckets sin cuota de tamaño ni filtro MIME. La CDN pública de Supabase permite descargar comprobantes bancarios saltándose RLS si se conoce la ruta.","SELECT * FROM storage.buckets WHERE id = 'receipts' arroja public: true, file_size_limit: null, allowed_mime_types: null.","Exposición no autorizada de datos bancarios de compradores (nombres, números de cuenta, cédulas en comprobantes).","Hacer petición GET directa por HTTPS a https://<ref>.supabase.co/storage/v1/object/public/receipts/<path>.","ABIERTO","Requiere migrar cualquier archivo residual de receipts a payment-proofs.","Ejecutar UPDATE storage.buckets SET public = false WHERE id = 'receipts'; y eliminar o restringir el fallback en paymentService.ts."
"HIGH-02","ALTA","Backend Transaccional / Anti-Spam","supabase/migrations/012_create_order_secure.sql","350-380 (submit_payment_proof)","payment_proofs","submit_payment_proof","public.submit_payment_proof","Subir comprobante","submit_payment_proof no tiene límite en el número de comprobantes adjuntables a una orden abierta. Permite a bots o usuarios maliciosos saturar la tabla con miles de registros basura (FAIL en prueba REP-03).","Prueba adversarial REP-03 en AUDITORIA_06_PRUEBAS_ADVERSARIALES.md.","Denegación de servicio en base de datos, desbordamiento de almacenamiento y dificultad para que el admin identifique el comprobante real.","Ejecutar bucle de llamadas a submit_payment_proof con el mismo order_id en pending.","ABIERTO","Ninguna.","Añadir verificación en submit_payment_proof: IF (SELECT COUNT(*) FROM payment_proofs WHERE order_id = p_order_id) >= 3 THEN RETURN error."
"HIGH-03","ALTA","Autorización / Flujo de Cancelación","supabase/migrations/024_admin_users_management.sql","45-50","orders, tickets","cancel_order","public.cancel_order","Crear orden / Expirar / Cancelar","En migración 024 se revocó el permiso de ejecución de cancel_order para anon y PUBLIC. Sin embargo, el frontend público asume que el comprador puede cancelar su orden en checkout si se equivoca.","routine_grants muestra que cancel_order solo tiene permisos para authenticated, postgres, service_role.","Llamadas de cancelación desde el checkout público fallan con error HTTP 403 / 42501 permission denied.","Llamar supabase.rpc('cancel_order', { p_order_id, p_reason }) con el cliente anónimo.","ABIERTO","Requiere definir si el comprador debe poder cancelar o si solo el sistema/admin cancela.","Si el comprador debe poder cancelar, crear RPC segura cancel_own_order validando token de orden o teléfono."
"MED-01","MEDIA","Arquitectura de Software / RPCs","supabase/migrations/014_harden_admin_payment_rpcs.sql","20-35","orders","approve_order_payment, reject_order_payment","public.approve_order_payment, public.reject_order_payment","Aprobar orden / Rechazar orden","Divergencia en el protocolo de errores: approve_order_payment y reject_order_payment usan RAISE EXCEPTION (HTTP 400), mientras que create_order_secure y admin_block_ticket retornan JSONB { success: false } (HTTP 200).","Inspección de prosrc en AUDITORIA_05_BACKEND_EVENTOS.md.","Rompe la consistencia del cliente React; unas llamadas requieren try/catch de excepciones de red y otras requieren evaluar if (!res.data.success).","Llamar a approve_order_payment con una orden ya pagada; produce excepción 400 en vez de JSON estructurado.","ABIERTO","Requiere actualizar servicios frontend en caso de homologar.","Estandarizar todas las RPCs para retornar un contrato homogéneo jsonb_build_object('success', bool, 'error', text)."
"MED-02","MEDIA","Auditoría / Trazabilidad","supabase/migrations/014_harden_admin_payment_rpcs.sql","15-40","audit_logs","approve_order_payment, reject_order_payment","public.approve_order_payment, public.reject_order_payment","Aprobar orden / Rechazar orden","Las funciones approve_order_payment y reject_order_payment no insertan explícitamente en audit_logs dentro de su cuerpo. La trazabilidad depende enteramente del trigger trg_validate_order_status.","Código de ambas funciones carece de INSERT INTO public.audit_logs.","Si el trigger de orden llega a desactivarse temporalmente o fallar, la aprobación de órdenes queda sin registro de auditoría.","Inspeccionar prosrc de approve_order_payment.","ABIERTO","Trigger trg_validate_order_status.","Añadir sentencia explícita INSERT INTO public.audit_logs dentro de la RPC registrando el admin ejecutor y timestamp."
"MED-03","MEDIA","Seguridad en PostgreSQL","supabase/migrations/*.sql","Varias","Todas","29 funciones en public","29 funciones SECURITY DEFINER","Todos los flujos de base de datos","29 de las 30 funciones declaradas como SECURITY DEFINER no incluyen la cláusula SET search_path = public, pg_temp.","Inspección en detailed_rpc_analysis.json de la cláusula prosrc.","Vulnerabilidad ante Search Path Hijacking si un actor malicioso pudiera crear esquemas o funciones trampa en esquemas temporales.","Inspeccionar definición de rutinas en pg_proc.","ABIERTO","Ninguna.","Añadir SET search_path = public, pg_temp en la definición de cada función SECURITY DEFINER."
"MED-04","MEDIA","Consistencia de Datos / Frontend","src/services/faqService.ts, src/services/galleryService.ts","faqService: 15-40, galleryService: 280-310","faq_items, gallery_items, gallery_categories","N/A","getFaqItems, getPublicGalleryItems","Administrar FAQ / Administrar galería","Doble fuente de verdad: Si Supabase falla o las tablas no responden, los servicios hacen fallback silencioso a arrays locales en memoria (LOCAL_FAQ_ITEMS, LOCAL_GALLERY_ITEMS).","Líneas console.info('[faqService] Usando respaldo local...') y fallback en código fuente.","Un usuario o admin puede visualizar y editar datos en caché local que nunca persisten en el servidor, causando inconsistencias operativas.","Desconectar internet o forzar error en faq_items; la interfaz muestra FAQs estáticas locales.","ABIERTO","Migraciones 032, 034, 035, 036.","Notificar explícitamente al usuario en UI cuando se esté operando bajo modo degradado de respaldo local."
"LOW-01","BAJA","Arquitectura Cloud / Edge Functions","supabase/functions/cron-release-expired-reservations/index.ts","1-100","tickets, orders","release_expired_reservations","Edge Function cron-release-expired-reservations","Expirar reservas","Redundancia inactiva: pg_cron ejecuta la liberación internamente cada 5 min (job 4), dejando la Edge Function sin uso ni disparador configurado.","cron.job muestra job activo en BD; Edge Function carece de cron trigger en supabase/config.toml.","Superficie de ataque expuesta sin necesidad y código muerto en producción.","Consultar cron.job en PostgreSQL viva.","ABIERTO","pg_cron en Supabase.","Documentar formalmente la Edge Function como mecanismo de contingencia o remover el despliegue HTTP si pg_cron es el titular."
